t,f_x,f_y,c_d,c_l
2.800219999999999843e+01,2.726119533994895150e+00,-6.245873723012551615e-07,2.180895627195916120e+01,-4.996698978410041292e-06
2.825159999999999982e+01,2.746516388486084814e+00,4.498585155568446403e-07,2.197213110788867851e+01,3.598868124454757123e-06
2.850100000000000122e+01,2.766912875904344205e+00,1.365230032232545021e-06,2.213530300723475364e+01,1.092184025786036017e-05
2.875039999999999907e+01,2.787309024160136151e+00,6.506943270034870608e-07,2.229847219328108920e+01,5.205554616027896486e-06
2.900700000000000145e+01,2.808287593036122853e+00,-1.459945271731211136e-06,2.246630074428898283e+01,-1.167956217384968909e-05
2.925639999999999930e+01,2.828683131831115194e+00,-2.309830175614702164e-06,2.262946505464892155e+01,-1.847864140491761731e-05
2.950580000000000069e+01,2.849078404022884481e+00,-6.028902238552902304e-08,2.279262723218307585e+01,-4.823121790842321843e-07
2.975519999999999854e+01,2.869473430814367010e+00,3.381272236993582148e-06,2.295578744651493608e+01,2.705017789594865718e-05
3.000459999999999994e+01,2.889868231440520852e+00,3.360508265937145467e-06,2.311894585152416681e+01,2.688406612749716373e-05
3.025410000000000110e+01,2.910262821645023923e+00,-1.784427189489845578e-06,2.328210257316019138e+01,-1.427541751591876462e-05
3.050349999999999895e+01,2.930657219772205835e+00,-6.730250282922789484e-06,2.344525775817764668e+01,-5.384200226338231587e-05
3.075290000000000035e+01,2.951051439368676199e+00,-3.853052298302683809e-06,2.360841151494940959e+01,-3.082441838642147047e-05
3.100230000000000175e+01,2.971445492848552750e+00,6.294939823750511643e-06,2.377156394278842200e+01,5.035951859000409314e-05
3.125169999999999959e+01,2.991839396790290984e+00,1.182678507982010130e-05,2.393471517432232787e+01,9.461428063856081039e-05
3.150110000000000099e+01,3.012233158123881260e+00,2.066421324921352554e-06,2.409786526499105008e+01,1.653137059937082043e-05
3.175049999999999883e+01,3.032626789316462013e+00,-1.561241239478317056e-05,2.426101431453169610e+01,-1.248992991582653644e-04
3.200710000000000122e+01,3.053602974365556388e+00,-1.784169118689005185e-05,2.442882379492445111e+01,-1.427335294951204148e-04
3.225650000000000261e+01,3.073996369700787490e+00,6.581649967099534315e-06,2.459197095760629992e+01,5.265319973679627452e-05
3.250589999999999691e+01,3.094389666414717688e+00,3.293465043877064069e-05,2.475511733131774150e+01,2.634772035101651255e-04
3.275529999999999831e+01,3.114782870510371282e+00,2.205774110070057858e-05,2.491826296408297026e+01,1.764619288056046287e-04
3.300469999999999970e+01,3.135175977493378952e+00,-2.770599158799513795e-05,2.508140781994703161e+01,-2.216479327039611036e-04
3.325419999999999732e+01,3.155569013993646976e+00,-5.964696018179865833e-05,2.524455211194917581e+01,-4.771756814543892666e-04
3.350359999999999872e+01,3.175961971017584595e+00,-1.644132967265621303e-05,2.540769576814067676e+01,-1.315306373812497043e-04
3.375300000000000011e+01,3.196354844927226768e+00,7.291594860282801793e-05,2.557083875941781415e+01,5.833275888226241435e-04
3.400240000000000151e+01,3.216747676221614505e+00,9.501717399938020003e-05,2.573398140977291604e+01,7.601373919950416003e-04
3.425180000000000291e+01,3.237140427000217535e+00,-1.666516860573952208e-05,2.589712341600174028e+01,-1.333213488459161766e-04
