t,u_probe,v_probe,p_probe,f_x,f_y,c_d,c_l
4.025450000000000017e+01,nan,nan,nan,2.577421479693753348e-01,3.378189066064347652e-04,2.061937183755002678e+00,2.702551252851478122e-03
4.050300000000000011e+01,nan,nan,nan,2.577420825442895969e-01,5.887719991084793035e-04,2.061936660354316775e+00,4.710175992867834428e-03
4.075139999999999674e+01,nan,nan,nan,2.577427400216230069e-01,6.749768844935286408e-04,2.061941920172984055e+00,5.399815075948229126e-03
4.100610000000000355e+01,nan,nan,nan,2.577429560903098937e-01,5.418255875135575628e-04,2.061943648722479150e+00,4.334604700108460502e-03
4.125460000000000349e+01,nan,nan,nan,2.577427003702531527e-01,2.545198271520343462e-04,2.061941602962025222e+00,2.036158617216274769e-03
4.150310000000000343e+01,nan,nan,nan,2.577430146534506750e-01,-4.890878867401320210e-05,2.061944117227605400e+00,-3.912703093921056168e-04
4.175150000000000006e+01,nan,nan,nan,2.577438544228942141e-01,-2.169600204098471078e-04,2.061950835383153713e+00,-1.735680163278776863e-03
4.200610000000000355e+01,nan,nan,nan,2.577439952750482655e-01,-1.564353643554753043e-04,2.061951962200386124e+00,-1.251482914843802434e-03
4.225460000000000349e+01,nan,nan,nan,2.577431145499954335e-01,1.076270363627550698e-04,2.061944916399963468e+00,8.610162909020405587e-04
4.250310000000000343e+01,nan,nan,nan,2.577421655840198000e-01,4.486535334290657050e-04,2.061937324672158400e+00,3.589228267432525640e-03
4.275160000000000338e+01,nan,nan,nan,2.577423201416956244e-01,6.983286928258316574e-04,2.061938561133564995e+00,5.586629542606653259e-03
4.300000000000000000e+01,nan,nan,nan,2.577430931333358211e-01,7.283725675693127543e-04,2.061944745066686568e+00,5.826980540554502035e-03
4.325469999999999970e+01,nan,nan,nan,2.577430663282964107e-01,5.082201260942886389e-04,2.061944530626371286e+00,4.065761008754309111e-03
4.350319999999999965e+01,nan,nan,nan,2.577428064615715497e-01,1.496825796163643932e-04,2.061942451692572398e+00,1.197460636930915145e-03
4.375160000000000338e+01,nan,nan,nan,2.577434059956468793e-01,-1.748990512432937951e-04,2.061947247965175034e+00,-1.399192409946350361e-03
4.400000000000000000e+01,nan,nan,nan,2.577442870938401187e-01,-3.017913685046274045e-04,2.061954296750720950e+00,-2.414330948037019236e-03
4.425460000000000349e+01,nan,nan,nan,2.577441324358189512e-01,-1.538807133157606632e-04,2.061953059486551609e+00,-1.231045706526085306e-03
4.450310000000000343e+01,nan,nan,nan,2.577428332203242634e-01,1.975874386543674587e-04,2.061942665762594107e+00,1.580699509234939669e-03
4.475160000000000338e+01,nan,nan,nan,2.577420423917169412e-01,5.840165528219348496e-04,2.061936339133735530e+00,4.672132422575478797e-03
4.500000000000000000e+01,nan,nan,nan,2.577427116394745421e-01,8.128577273372160090e-04,2.061941693115796337e+00,6.502861818697728072e-03
4.525469999999999970e+01,nan,nan,nan,2.577434733970556113e-01,7.590858436602626906e-04,2.061947787176444891e+00,6.072686749282101525e-03
4.550310000000000343e+01,nan,nan,nan,2.577430962864726838e-01,4.420924055163732427e-04,2.061944770291781470e+00,3.536739244130985942e-03
4.575160000000000338e+01,nan,nan,nan,2.577429432566904488e-01,1.384369785740395369e-05,2.061943546053523590e+00,1.107495828592316295e-04
4.600010000000000332e+01,nan,nan,nan,2.577439242907320072e-01,-3.148149525839937933e-04,2.061951394325856057e+00,-2.518519620671950347e-03
4.625460000000000349e+01,nan,nan,nan,2.577447569248794146e-01,-3.733901954422481884e-04,2.061958055399035317e+00,-2.987121563537985507e-03
4.650300000000000011e+01,nan,nan,nan,2.577441714540321116e-01,-1.202297037493671482e-04,2.061953371632256893e+00,-9.618376299949371860e-04
4.675150000000000006e+01,nan,nan,nan,2.577423957694975343e-01,3.236248598106253164e-04,2.061939166155980274e+00,2.588998878485002531e-03
4.700619999999999976e+01,nan,nan,nan,2.577421290870420822e-01,7.506660741492747046e-04,2.061937032696336658e+00,6.005328593194197637e-03
4.725460000000000349e+01,nan,nan,nan,2.577432685557473069e-01,9.259607124340516176e-04,2.061946148445978455e+00,7.407685699472412941e-03
4.750300000000000011e+01,nan,nan,nan,2.577438318773756509e-01,7.651925349183001266e-04,2.061950655019005207e+00,6.121540279346401013e-03
4.775150000000000006e+01,nan,nan,nan,2.577430106076353256e-01,3.368643449591155045e-04,2.061944084861082604e+00,2.694914759672924036e-03
4.800619999999999976e+01,nan,nan,nan,2.577432613243659243e-01,-1.647281924476084937e-04,2.061946090594927394e+00,-1.317825539580867950e-03
4.825450000000000017e+01,nan,nan,nan,2.577446096381450502e-01,-4.669266906354559914e-04,2.061956877105160402e+00,-3.735413525083647931e-03
4.850289999999999679e+01,nan,nan,nan,2.577452173663815072e-01,-4.247136573518384465e-04,2.061961738931052057e+00,-3.397709258814707572e-03
4.875130000000000052e+01,nan,nan,nan,2.577440617997939221e-01,-4.703972390674227076e-05,2.061952494398351377e+00,-3.763177912539381661e-04
4.900600000000000023e+01,nan,nan,nan,2.577423620552147798e-01,5.022903346997215687e-04,2.061938896441718239e+00,4.018322677597772549e-03
4.925439999999999685e+01,nan,nan,nan,2.577424841459489691e-01,9.278390760362757641e-04,2.061939873167591752e+00,7.422712608290206113e-03
4.950280000000000058e+01,nan,nan,nan,2.577439151821380725e-01,1.025231224476527356e-03,2.061951321457104580e+00,8.201849795812218846e-03
4.975119999999999720e+01,nan,nan,nan,2.577441418612951285e-01,7.342486543981197392e-04,2.061953134890361028e+00,5.873989235184957913e-03
